image,label,module_a_pred,module_a_ok,module_a_latency,module_a_detail,module_b_pred,module_b_ok,module_b_candidate_ok,module_b_latency,module_b_detail,module_c_pred,module_c_ok,module_c_latency,module_c_detail,combined_pred,combined_ok,combined_latency,combined_detail
da_ming_wan_li_nian_zhi_75b2e20c.jpg,大明萬曆年製,,False,0.1877,best=173;second=166;accepted=False,大明萬年,False,False,69.8164,大明萬年;大明唇;大明唇年;明年梨,大明,True,0.0,substring:大明萬年,大明,True,70.0041,ocr_fuzzy
da_ming_xuan_de_nian_zhi_c7e94867.jpg,大明宣德年製,,False,0.022,best=68;second=64;accepted=False,,False,True,54.4333,年;年;年;口,贊普鐘年製,False,0.0144,fuzzy_tiedecision:年,贊普鐘年製,False,54.4696,ocr_fuzzy
da_qing_kang_xi_nian_zhi_15577545.jpg,大清康熙年製,,False,0.2222,best=126;second=124;accepted=False,大清康熙年製,True,True,68.4511,大康熙年;大清康熙年;大康熙年象;大清康熙年艇,大清康熙年製,True,0.0,exact:大清康熙年製,大清康熙年製,True,68.6734,ocr_fuzzy
da_qing_yong_zheng_nian_zhi_1a525425.jpg,大清雍正年製,,False,0.1394,best=175;second=155;accepted=False,大清雍正年製,True,True,60.0791,大清雍正年製,大清雍正年製,True,0.0,exact:大清雍正年製,大清雍正年製,True,60.2185,ocr_fuzzy
da_qing_yong_zheng_nian_zhi_5c044d6a.jpg,大清雍正年製,,False,0.0053,best=10;second=10;accepted=False,大清正年奥,False,False,55.8495,大清正年;大清正年奥,大清,True,0.0029,substring:大清正年奥,大清,True,55.8577,ocr_fuzzy
khanh_xuan_thi_ta_7e4a6551.jpg,慶春侍左,,False,0.1742,best=183;second=183;accepted=False,魔春侍左,True,True,71.0187,集;左春集;魔春侍左;春特车,慶春侍左,True,0.002,exact:魔春侍左,慶春侍左,True,71.1949,ocr_fuzzy
mark_00b3d7a1.jpg,大清康熙年製,,False,0.1361,best=179;second=177;accepted=False,宜清,False,False,70.942,自;宜清,大清,True,0.0193,fuzzy_tiedecision:宜清,大清,True,71.0975,ocr_fuzzy
mark_4c7c5f97.jpg,大清雍正年製,,False,0.2499,best=118;second=115;accepted=False,大青雄正年,False,True,55.1355,大青雄正年;正洋;正年;大青正年;大清正年,大清雍正年製,True,0.0378,fuzzy_tiedecision:大青雄正年,大清雍正年製,True,55.4232,ocr_fuzzy
mark_4fe11902.jpg,內府侍右,,False,0.2084,best=244;second=223;accepted=False,內府侍右,True,True,79.3948,内府侍右;内府右;府侍内右;右府,內府侍右,True,0.0,exact:內府侍右,內府侍右,True,79.6032,ocr_fuzzy
mark_5fb765e7.jpg,大明成化年製,,False,0.2865,best=349;second=308;accepted=False,大明襄成化年,False,True,71.8953,华明成;化大年明成;明襄成;成;明化大,大明,True,0.0,substring:大明襄成化年,大明,True,72.1818,ocr_fuzzy
