image,relative_path,local_text,local_confidence,local_candidates,local_latency,local_status,local_error,gemini_text,gemini_confidence,gemini_candidates,gemini_latency,gemini_status,gemini_error,gemini_model,system_text,system_confidence,system_aggregated_confidence,system_primary_pipeline,system_valid_pipelines,system_num_valid_pipelines,system_latency,system_status,system_error,system_gemini_model
55ae3424-6f61-4e7f-a6c4-edee40f96797.png,ảnh thực nghiệm\55ae3424-6f61-4e7f-a6c4-edee40f96797.png,大明年製,0.99,大明福天顺年製,85.9521,success,,大明天順年製,1.0,大明天順年製,6.2902,success,,gemini-3.1-flash-lite,大明順天年製,0.7,0.904,vision_gemini,ocr_llm;ocr_search;vision_gemini,3,190.0201,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",
6830ef36-74e0-46a6-a8ac-385b46eb9f6b.png,ảnh thực nghiệm\6830ef36-74e0-46a6-a8ac-385b46eb9f6b.png,,,,,,,雍年製款,0.9,雍年製款,8.8758,success,,gemini-2.5-flash-lite,雍熙年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,166.9979,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,
"ChatGPT Image 19_56_30 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 19_56_30 12 thg 6, 2026.png",,,,,,,大明洪武年製,1.0,大明洪武年製,4.9831,success,,gemini-3.1-flash-lite,大明洪武年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,135.9582,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,
"ChatGPT Image 19_59_02 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 19_59_02 12 thg 6, 2026.png",,,,,,,大明建文年製,1.0,大明建文年製,4.5926,success,,gemini-3.1-flash-lite,大明建文年製,0.94,0.9275,ocr_llm,ocr_llm;ocr_search;ml_match,3,122.5584,success,"Đã tìm được link nguồn để đối chiếu, nhưng nguồn web chưa đủ mạnh để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.",
"ChatGPT Image 20_01_23 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_01_23 12 thg 6, 2026.png",,,,,,,大明永年,1.0,大明永年,6.2786,success,,gemini-2.5-flash-lite,大明永樂年製永,0.7,0.8971,vision_gemini,ocr_llm;ocr_search;vision_gemini;vision_opencode,4,126.0578,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",
"ChatGPT Image 20_04_19 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_04_19 12 thg 6, 2026.png",,,,,,,大明洪熙年製,1.0,大明洪熙年製,4.7491,success,,gemini-3.1-flash-lite,大明洪熙年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,111.8985,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,
"ChatGPT Image 20_05_04 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_05_04 12 thg 6, 2026.png",,,,,,,大明宣德年製,1.0,大明宣德年製,4.8074,success,,gemini-3.1-flash-lite,大明宣德年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,125.6462,success,"Đã tìm được link nguồn để đối chiếu, nhưng nguồn web chưa đủ mạnh để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.",
"ChatGPT Image 20_06_05 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_06_05 12 thg 6, 2026.png",,,,,,,大明正統年製,1.0,大明正統年製,5.4629,success,,gemini-2.5-flash-lite,大明統正年製,0.7,0.9117,vision_gemini,ocr_llm;ocr_search;vision_gemini;ml_match,4,207.9458,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",
"ChatGPT Image 20_07_20 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_07_20 12 thg 6, 2026.png",,,,,,,大明景泰年製,1.0,大明景泰年製,4.3639,success,,gemini-3.1-flash-lite,大明景泰年製,0.94,0.9314,vision_gemini,ocr_llm;vision_gemini,2,221.2339,success,,
"ChatGPT Image 20_10_42 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_10_42 12 thg 6, 2026.png",,,,,,,大明弘治年製,1.0,大明弘治年製,4.3246,success,,gemini-3.1-flash-lite,大明弘治年製汉,0.7,0.8971,vision_gemini,ocr_llm;ocr_search;vision_gemini;vision_opencode,4,184.433,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",
